,frag_smiles
136,Cc1nn(C)cc1N
137,[CH]CN(CC)C(=O)C(=O)NC
138,COc1ccc(C)c(SC)c1
139,CC(NS)C1CCC1
140,CSc1ncnc(C)c1C(C)=O
141,[CH]C1C[NH+](CC(N)=O)CC1[CH]
142,[CH]C[NH+](C(C)C)C(C)CCC
143,[CH]C(C)N(CC)C(=O)C([NH3+])CC
144,COC(=O)N1CC(C)C([NH3+])C1
145,CC(C)(C)C(=O)N1CC[CH]C([NH3+])C1
146,CCC1(C)CCCCC1C
147,CC1=C(C(=O)[O-])N2C(=O)C([NH3+])C2SC1
148,CC1(N)CCOc2ccccc21
149,Cc1nnc2c3c(nnc(C)c13)CCC2
150,CCN1C(N)=[NH+]CC12CSC(C)C2
151,CC=Cc1sc(C)nc1C
152,CCN(c1cc(C)cc(C)c1)C(C)C
153,CC1=CC(CNS)C(C(C)C)C[CH]1
154,[CH]CC1(C(=O)O)CCCNC1
155,CCC1c2ccccc2N=CN1N
156,[CH]C1CCCC=C1C(=C)C
157,CCN(CCNC)C(=O)O
158,CCc1nnc(C(C)O)n1CCN
159,CNC(CS)CC[NH+](C)C
160,[CH]Oc1ccc(Cl)cc1CC
161,CCC1(CC)CC(C(C)[NH2+])CCO1
162,Cc1nn(CC(N)=O)c(C(C)C)c1Br
163,Cc1sc(S(=O)(=O)N(C)C)c(C(=O)O)c1C
164,CC1(C)C=C(N)Nc2ccccc21
165,[CH]CC(OCCCl)C([CH])[NH2+]
166,CCc1nn(C)c(OC)c1CN(C)C
167,CN1CC(N)CC1C(=O)O
168,O=C([O-])C1=CC(S)C=N1
169,CN=C([NH-])SC
170,CN(C)Cc1nnn[n-]1
171,Cc1oc2ncnc(N(C)C)c2c1C
172,CC(C)C1CCCCC1[NH+](C)C(C)C
173,CC1[CH]C([NH2+])c2ccccc2S1
174,CC(O)C(O)C([CH])O
175,C=CCCS(=O)(=O)N(C)C
176,Cc1nc(C)n2ccncc12
177,CC1Cc2cc(Br)ccc2N1C
178,[N+]C=Cc1cccs1
179,CNc1sc(C(N)=O)c(C)c1C
180,CCC(CN)C(C)C
181,C=C1C=NC(=S)N(CC)C1=O
182,C=C1SC(=NC)N(C)C1=O
183,Clc1c(Br)ccc2c1CCCN2
184,C[NH2+]C1CCCC([NH+](C)C)C1
185,N=C([O-])C1=CC=CN2CCS(=O)(=O)N=C12
186,[CH]C(C)C(CC)NC(=O)C[NH+]
187,CC(O)CCC(C)[NH+](C)C
188,CCC(CO)[NH2+]CC(C)S
189,CNS(=O)(=O)C=C
190,[CH]C([NH2+])C(C)(CC)N(C)C
191,[CH]NS(=O)(=O)N1CCCC(C)C1
192,[CH]N(C)C(=O)C1CC[NH+]CC1
193,Cc1nn(C)c(=O)c(C(N)=O)c1C
194,[CH]S(=O)(=O)c1ncncc1C
195,CCC(CC)C1CCCCC1N(C)C
196,C=C1N(C)c2ccccc2C1(CC)C(C)[N+]
197,[CH][NH2+]C(C)c1ccccc1N(C)C
198,[CH]CC(CC)[NH+](C)C(CC)CC
199,[CH]NC(=O)C(F)(F)F
200,[CH]Oc1ccccc1
201,Cc1cc2nc(S)[nH]c(=O)c2[nH]1
202,CCCC([NH2+]C)C(CC)CC
203,[CH]OP(=O)([O-])[O-]
204,CNC(=O)C(CC(C)C)NC(C)=O
205,C[NH2+]CC1(C)CCCO1
206,CCC(CCC(=O)[O-])C(C)C
207,[CH]C(=O)N(C(C)C)C(CC)CC
208,CC(C)n1c(=O)cc([O-])[nH]c1=S
209,CSCCC(C)O
210,Cc1cc(C)n2ncc(C(N)=O)c2n1
211,[CH]C1CC(C)C(OC)(C(C)=O)C1(C)C
212,C=CCn1c(C)c(C)c(S)c1NC
213,[CH]OCCO
214,C=[N+](C)C1CCS(=O)(=O)C1
215,CCC12C(=O)N(C)CC1CC(C)[NH+]2C
216,CCCC(C#N)C(CC)SC
217,[CH][NH2+]C1CC(C)c2c(C)cccc21
218,[CH]CC(CC)NC(=O)C(C)N
219,CC(C)N(C)c1cc(N)ccc1Cl
220,COC(=O)c1sc(N)nc1N
221,CCn1nc(C)c(Br)c1C1CC1
222,[CH]OC(=O)C1CCCN1S(C)(=O)=O
223,CC(N)=Nc1cc(Cl)ccc1Cl
224,C=CC[NH+](CC(N)=O)CC(=O)[O-]
225,CC(C(=O)[O-])S(=O)(=O)N(C)C
226,Cc1ncncc1C(C)[NH3+]
227,Cc1cc(C[NH+])c(C)o1
228,CCOC1CCN(C)C1
229,CCCC1C(=O)NCCC1(CC)CC
230,[CH]C(=O)N(CC)CC(CC)[NH2+]C
231,[CH]CC1=C(C)N=NC1C(=O)NC
232,CN(C)C(=O)c1cc(O)n[nH]1
233,Cc1scc2c1OCO2
234,[CH]Nc1c(N)c(C)nn1C
235,CC1=NC=C([N+](=O)[O-])C1
236,CN(C)CCC([O-])=NS
237,CC([NH3+])c1ccc(F)cc1Br
238,CCCc1cc(=O)[nH]c(S)n1
239,[CH]Cc1ncc[nH]1
240,COCc1nccnc1OC
241,COc1cc(C(C)[NH+])c(C)cc1O
242,[CH]C(=O)OCC(=O)C(C)N
243,[CH]CN(C(=O)C(OC)C(C)C)C(C)C
244,CC1[CH]C(O)CC2CC(O)CCC12C
245,C=CC(CC)CN
246,CC(N)=C1CCCCC1C
247,CS(=O)c1ccccc1N
248,CCC(=CCC(C)O)CC
249,Cc1ccc(NS)cc1[N+](=O)[O-]
250,[CH]C(C)C(=O)N(C)C(C)CS
251,Pc1nc2c(s1)CCCC2
252,[CH][NH2+]C(CC)c1ccccc1Cl
253,Nc1ccc(C(=O)[O-])nn1
254,CC(N)c1cncc(Br)c1
255,CC1(C)C(C[NH+])C1(C)C
256,CCC1C[NH+](C(C)C)C(C)CN1C
257,COC(=O)c1sccc1Br
258,C[NH2+]Cc1cccc([N+])c1
259,CC(O)C(C)[NH2+]CC(C)(C)O
260,Cc1cc(N)nc(C(CN)N(C)C)[nH+]1
261,Cc1ccc(C)c(CN(C)C)c1
262,Cc1c(C(=N)[O-])cnn1C(C)C
263,[CH]Oc1ccccc1OCC
264,C=C1OC2CC(=O)N2C1C(=O)[O-]
265,CNC(=O)CC(C)NC
266,OCC1=CC(O)CC(O)C1O
267,CCCC1SCCN1C(C)=O
268,CC1CNC(=O)CC1C(N)=O
269,[CH]C(C)OCC(=O)NN
270,CCNc1ccccc1CO
271,[CH]CN(CC)CCC(C)(C)[NH2+]
272,[CH]c1ccc(Br)c2ccccc12
273,[CH]C(C)S(=O)(=O)c1ccccc1OC
274,COc1ccc(I)c(C)c1C#N
275,COc1ccccc1C(C)C(C)(C)O
276,[CH]CN(CC)c1nc(C)[nH+]cc1CC
277,CC(C)C(=O)NC(C(=O)O)C(C)(C)C
278,CC1(C(N)=O)COCC1N
279,CCc1ccc(C)c(C[NH2+])c1
280,C[NH2+]CC1C=CC([NH3+])C1
281,CC[NH+]1CCN(S)CC1
282,CC(=O)N(C)C(=S)S
283,[CH]NC(=O)NNC(C)=O
284,CC1(C)NCCC1[NH2+]
285,CC([NH2+])c1nc(C(C)O)no1
286,NCc1cccc(F)c1Cl
287,CN=C(OC)N1CCCCC1
288,CC1(O)C=CC=CC1=O
289,[CH]C(=O)OCC(=O)C=C
290,C=Nc1cc(Cl)ccc1O
291,CC(C)N1C(C)CCC1CC[NH+]
292,CCC(C)(CNC(C)(C)C)OC
293,CC(C)=C(c1cccc(Br)c1)S(N)(=O)=O
294,CCC(C)(C)NC(=O)CN
295,C[NH+](C)C1CCC(S)C1
296,[CH]NC1CCc2c(F)ccc(Br)c21
297,Cc1cnc(C(C)S)o1
298,[CH]N(C)Cc1cccc(F)c1
299,Cn1nc(C(C)(C)C)c([N+](=O)[O-])c1N
300,Cc1nnc(N)c(C)c1C
301,CCC(NC(=O)CO)C(C)N
302,CCN(CC)C(C)C(N)=[NH2+]
303,CC(C)[NH+]1CCC(O)(O)C1
304,[CH][NH+](C)CCN(C)C
305,CCC(CN)NC(C)C(C)F
306,CN(C)S(=O)(=O)c1cc[nH]c1
307,[CH]C(C)c1nc(C(C)[NH2+])no1
308,CC(C)CC(O)CN
309,CCn1nc(C)c2ccccc21
310,CN(C)C1(C[NH2+])CCSC1
311,COC1C(C)C(N(C)C)C1(C)C
312,CNc1cc(C)c(I)cc1C
313,CC1(C)CC(O)c2ccccc21
314,CCS(=O)(=O)NC(C)C
315,Cc1ccc(S(C)(=O)=O)cc1[N-]S
316,[CH]c1ccc(N)c(C(F)(F)F)c1
317,CC(=NO)C(C)C
318,CCC([NH2+]C)c1ccn(C)c1
319,[CH]Oc1ccc(C)c(OC)c1
320,CNC(=O)C1CC(C)=C(C)S1
321,[CH]Oc1c(C)ccc(C)c1C
322,[CH]NCc1[nH]cc[nH+]1
323,CCN(CC[NH3+])C(=O)C(C)(C)C
324,CC(C)N1C(=O)C(=O)c2ccccc21
325,CCCN(C(=O)C(C)C)C(CC)C[NH+]
326,C[NH+]1CCCCC1C(=O)[O-]
327,CNC(C[NH3+])c1cccc(Br)c1
328,CCN(C)CCC(O)O
329,[CH]Oc1cc(N(C)C)ncn1
330,Cc1c(Cl)cccc1S(N)(=O)=O
331,NCc1ccc(N)nn1
332,[CH]c1[nH]c2ccccc2c1CC
333,[CH]C(=O)Nc1nc(N)ns1
334,CC1CCCC1N(C)C
335,CCN1C(N)=[NH+]CC12CC(C)CC(C)C2
336,CC([NH+])c1ccon1
337,CC1CCN(C(N)=S)C2CCCCC12
338,[CH][NH2+]C1CCCC1[CH]
339,[CH]CC(=O)N1CCC(C)(C)C1
340,CC1CC1c1cccc(F)c1
341,NC(=O)c1nnc(CO)s1
342,Cc1cc(C[NH+])c(C)n1C(C)C
343,Ic1ccnc2[nH]cc(I)c12
344,CCC(=O)NC(CC)C(=O)S
345,CNc1ncnc2sccc12
346,Cc1ccc(O)c(C(C)(C)C)c1
347,[CH]C(=O)N1CCCCC1CO
348,[CH]CN(C(=O)C(C)C)C([CH])C
349,CC1CN(CC(N)=O)CC[NH+]1
350,[CH]c1sc(=O)n(C)c1N
351,Cc1cnn(C2CNC2)c1
352,CCC(C)(C(N)=O)N(C)C
353,NC(=O)c1nnn(N)c1O
354,[CH]c1nc(NC(C)=O)sc1C
355,CC1OCC(=O)C1C
356,CN(C)c1ccccc1Cl
357,CON=CC(=O)[O-]
358,CC[NH+](C)C1(C(N)=O)CCCC1
359,CCC(NC)C(=O)N(C)CC
360,[CH]C(C)(C)CC=C
361,[CH]N(C)C(=O)c1cccnn1
362,[CH]N1Cc2ccccc2C1
363,CCC1CCCCC1(O)C(C)(C#N)CC
364,CC([O-])=Nc1nc(S)n(C)n1
365,CCC1(CC)SCC(=O)N1C
366,CN(C)S(=O)(=O)c1ccccc1S(C)(=O)=O
367,NC(=O)c1cc(Cl)ccc1S
368,[CH]C([NH+])CNC(=O)OC
369,CCC1(CC)CCC(=O)N1O
370,CCc1cnc(C)s1
371,C[NH2+]CC1C(C)(C)C1(C)C
372,C[NH+](C)C1C[CH]CCC1[NH3+]
373,C#CC(OC)OCC
374,Cc1nonc1CC(C)C
375,[CH]N(C)c1nccc(C(F)(F)F)n1
376,C=NOc1ccccc1[N+](=O)[O-]
377,CCC1(O)C(C)CC(O)C2C(C)(C)CCCC21C
378,CCOCC(CO)OC
379,[CH]Sc1ccc(Cl)cc1[CH]
380,[N-]c1ccc(O)cc1
381,O=C1[CH]Sc2ccccc2N1
382,CCC(CCl)c1cccc(Br)c1
383,CC([NH+])C(=O)N1CCCC([NH+])C1
384,[CH]CC(CCCC)C(C)C
385,CCN1CCN(C)CC1C
386,CC1CN(C(=N)S)C[CH]O1
387,NCc1cccc([N+](=O)[O-])c1
388,CCC1CC[NH+]CC1
389,CC(C)(C)NC=C(C#N)C(=O)O
390,CC(C)C1C[CH]CCO1
391,CNCc1cc(Cl)ccc1[N+](=O)[O-]
392,CCC(CC)C(=O)N1CCC1
393,FC(F)=C(Br)C(F)(F)F
394,[CH]c1nc(C(C)C)c(Br)c(=O)[nH]1
395,[CH][NH+]=c1cc(Cl)ccc1=[NH+]
396,C=Cc1ccc([N+])cc1
397,[NH+]CC(Br)C(F)(F)F
398,CC(C)C1CC([NH2+])C1
399,CCNc1nc(C)nc(C)c1C[NH2+]
400,[CH]C(C)n1cc[nH+]c1CCC
401,CCCC(C)(C)[NH+]
402,[CH]Oc1ccc(C)c(F)c1
403,COC(=O)CC(N)C(=O)O
404,Cc1csc(CC(C)[NH2+])n1
405,[CH]c1cn(CC)c2cc(F)ccc12
406,CCC(=O)N1CC(C)OCC1(C)C
407,Cc1ccoc1C([O-])=NS
408,NCc1c(F)cccc1Br
409,O=C(CO)c1cccc(Br)c1
410,CC[NH+](CC)CC(C)(C)CN
411,CC(C)C([NH3+])c1ccccc1
412,CC(C)c1nc(C(C)(C)N)no1
413,C=C1CNC(=O)NC1=O
414,CCCC1CCN(C)C1
415,[CH]N1CC(C)(C)NC(=O)C1C(C)C
416,[CH]CC(C)(C([CH])[CH])C(C)O
417,CC(C)N1C(C)[CH]CCC1C(=O)[O-]
418,CCNc1ncccc1C
419,[CH]N(C)C(=O)CS(=O)(=O)N(C)C
420,O=C([O-])c1sccc1NS
421,CC(=O)N1CC(C)C(N(C)C)C1
422,Cc1csc(CC[NH2+])n1
423,[NH2+]CC(=O)N1CCCCC1CO
424,CSc1nc(=O)c(C)n[nH]1
425,CCCC(C[NH3+])N(CC)CC
426,CN(C)S(=O)(=O)c1cc(O)ccc1F
427,CC(C)(O)C[NH2+]
428,NC1=C(C(=O)O)SCC1
429,CCC(N)(CC)C(N)=O
430,NS(=O)(=O)N1CCCC(CO)C1
431,Cc1sc2[nH+]ccc(C)c2c1N
432,[CH]1CNc2c[nH+]ccc2N1
433,[CH]C(C)C1(C=C)SCCCS1
434,CN(C)CC([NH3+])C(C)(C)C
435,C=NOC1CCCN(C)C1=O
436,N=C1N=CN=C1C(N)S
437,CNC(c1ccccn1)C(C)C
438,CC(=N)c1ccc(C)cc1O
439,CCSC(NC)=C(C(C)=O)C(C)=O
440,CC=Cc1cc([N+])cc(I)c1
441,[CH]Oc1cccc(C)c1
442,CC1CN(C)C(C(C)C)C[NH2+]1
443,CSc1nncn1C(C)(C)C
444,Cc1nccc2c1=C[CH]C(=O)[NH+]=2
445,[CH]Sc1nnnn1CC(=O)O
446,[CH]SC(=[NH+]C)N1CCNCC1
447,C=C(C)C1N=NC=[NH+]1
448,[CH]C(O)c1ccc(Cl)s1
449,CCN=c1c(O)c([O-])c1=[N+](C)C
450,Cc1cccnc1NC(N)=S
451,[NH3+]C1CNC1=O
452,C#Cc1ccc(C)o1
453,CNN1CC[NH+](C)CC1
454,CN(O)C(=O)c1cccc(S)c1
455,CC(C)Nc1nc(N)nc(S)n1
456,CC(O)C(NC(=O)N(C)C)C(=O)[O-]
457,[CH]C(C)Nc1[nH+]ccn1C
458,[CH]CC1(CC)C[NH+]=C(N)N1CC(C)O
459,Cc1cc(=O)n2oc(C)cc2n1
460,[CH]C(=O)c1cc(Cl)ccc1S
461,[CH]c1cnc(N)[nH]c1=O
462,CCCC(C[NH+](C)C)C(CC)[NH2+]C
463,[CH]C(C)(C)n1nc(CC)nc1N
464,CCN1CC([O-])C([NH+](C)C)C1
465,CCC(C#N)(CC)NC(=O)CN
466,[CH]CC(=NO)c1cccc(Cl)c1
467,Cc1cc(C)c(C[NH2+])cn1
468,CC1CC2C[NH2+]CC2N1C
469,[CH]CC(=O)NC(CC)(CO)C(=O)[O-]
470,C=Nc1ccccc1C(N)=O
471,[CH]NC(=O)CN(C)S(C)(=O)=O
472,[CH]C(C)C1C(=O)C=C[CH]N1C
473,C=CC(=O)N(CC)C(C)C(C)C
474,C=CC(Br)(C=C)S(C)(=O)=O
475,CC(C)(N)CNC(=O)CN
476,CCC(C(N)=O)N(C)S(=O)(=O)N(C)C
477,Cc1cc(Br)ccc1OS
478,[CH]C(C)C(C(=C)C)C(C)=CC
479,CNc1ccc(N)n[n+]1C
480,N[NH+]=C(N)c1cncc(N)n1
481,CC1(N)CCCOC1
482,CCNC1(C#N)CCCC([NH+])C1
483,CCC(SC)C(=O)N(C)C(C)C
484,CNC(c1cccnc1)N(C)C
485,C=C(C)C(C)(O)C#CC
486,[CH]C(=O)N(CC)C(C)C(C)C
487,[CH]c1cc(CCC)nc(C)n1
488,CS(=O)CCC[NH2+]
489,COc1coc(C)c1O
490,[NH+]CC1CCN(C(=O)O)C1
491,[CH]C1([NH+])C(=O)Nc2c(C)cccc21
492,CCC(C)C(C(=O)[O-])[NH+]1CCC1
493,CNC(=O)C(C)C[NH3+]
494,CCC1(C[NH3+])CCC(C)(C)C1O
495,CC1CC=CCC1(C)C(=O)[O-]
496,CC(C)C(O)c1ccccc1Br
497,COc1cc(OC)c(S)cc1C
498,[CH]S(=O)C1CCCCC1
499,CC1(C)OCC2(CNC2)CO1
500,[CH]Oc1ccccc1S(=O)(=O)CC
501,SC1OC1c1ccccc1Cl
502,CCC(CC)N1CCOC(C)C1CC
503,[CH]C=CC=CC=C
504,CC(C)(C)[NH2+]CC([O-])C(F)(F)F
505,CN(C)c1ccc(Br)nc1
506,Nc1ccc(Cl)c[nH+]1
507,CCNS(=O)(=O)C(CC)CN
508,NS(=O)(=O)c1cnoc1
509,[CH]N1C(=O)c2c(Cl)cc(Cl)c(Cl)c2C1=O
510,Cc1nn(C)c(O)c1[N+](=O)[O-]
511,CCN(CC)c1ccccc1C(C)[NH2+]
512,[CH]Oc1ccc(Br)c(C)c1
513,CC(C)(C)c1nnc([N-]S)s1
514,CCc1nc(C(=O)O)no1
515,[CH]CC(CC)C(=O)C(C#N)=C(N)[O-]
516,CC(=O)N1CCC(N)(N)CC1
517,CC(C)C(=O)C(C)N
518,CC(=O)N(C(=N)S)c1nonc1N
519,CC(C)C(C)([NH3+])CN
520,[CH]CN(CC(CC)C(N)=O)C(N)=O
521,NC(=O)C1CC[NH+]CC1
522,[CH]C(=O)N(CC)c1cc(O)cc(O)c1
523,CN1[CH]Cc2[nH]cnc2C1
524,[CH]N(C)c1ncnc2oc(C)nc12
525,CNc1c(C)c[nH+]c2ccccc12
526,CC(C)Oc1c(Cl)cccc1CO
527,[CH]CC([NH2+]C1C[CH]C1(C)C)C(C)C
528,[CH]C(C)=C(C)C(C)N
529,CCC([NH2+]C(C)CS)C(C)O
530,CCSCC([NH3+])CO
531,[CH]N(C)S(=O)(=O)CC=C
532,C[NH+](C)C(C[NH2+])c1ccccc1
533,Cc1cccc2c1CCCC2=N
534,C=CC(N=N)c1ccc(S)o1
535,Cn1cc(N)c(=O)[nH]c1=O
536,[CH]Cc1nnc(SC)o1
537,CCN(C(C)C)C1(C[NH3+])CSC(C)C1
538,CCSc1cc(N)ncn1
539,CC1CCC(CC[NH+])C1
540,CC(C)c1nnc([N-])s1
541,CC1CC([NH+]2CCC2)CS1
542,CNC1CCCCC1[NH+]
543,C[NH+]1CCS(=O)C(C)(C)C1
544,CC(C)(N)c1ccsc1
545,CC(C)NC1=[NH+]CCCS1
546,Cc1nc(C2CC2)n[nH]1
547,CCCCC(C(C)=O)C(=O)O
548,[CH][NH+](C)C(CC)c1ccco1
549,NS(=O)(=O)c1c[nH]cn1
550,[CH]NC(C[NH+](CC)C([CH])C)C(C)O
551,CCC(O)(C(C)C[NH3+])C(C)(C)C
552,CCN1CC([NH3+])CC1=O
553,CSC(N)=[NH+]CCO
554,CCC(CC)C(=O)NC(C)(C)C
555,[CH]Nc1ccncn1
556,CC1CC([NH2+]C(C)C)C(C)C[NH+]1
557,CCC1NCCN(C(C)C)C1=O
558,CC(C)(O)C1CCOCC1
559,CC(=NN)c1ccccc1F
560,CS(=O)(=O)NCCS
561,OCC1OC(O)[CH]C(O)C1O
562,O=S(=O)(C1CC1)N1CCC1
563,Fc1ccc(F)c(F)c1
564,CCC(CC)C(C)C(=O)N(C)C
565,CC1C=CC(C(=O)O)C1C
566,[CH]C[NH2+]CC(CN)OC
567,N=Nc1ccc(O)c(C=O)c1
568,CC[NH+](C(C)C)C1(C[NH3+])CCCCC1
569,CC(C(N)=O)[NH+]1CCCC(O)(O)C1
570,CC[NH+](C)C1CC1
571,C[NH2+]CC1CCS(=O)(=O)C1
572,CC([NH2+])C(C)(C)C(C)C
573,CCC1(C)CCC[NH+](C)C1
574,CN1CCc2c(nc[nH]c2=O)C1
575,NC1CC(=O)NC1=O
576,COc1cc(N(C)C)c(I)cc1O
577,CC(O)CN1C(=O)NC(C)C1=O
578,CNc1cc(CS)ccn1
579,[CH][NH+](C)Cc1cncnc1
580,CCC1(C(C)[NH3+])CCc2ccc(O)cc21
581,COc1ccc(N)c(C(=O)[O-])c1
582,CC(S)C(=O)c1cccc(F)c1
583,Cc1c[nH]c(C(C)[NH3+])nc1=O
584,CCC1CC([NH2+])CCO1
585,CC(C)CC1CC[NH+](C)C1
586,CC(N)CN1CC(C)OC(C)C1
587,N=c1[nH]nc2cccc(O)n12
588,[CH]Nc1cc(C(N)=O)nn1[CH]
589,[CH]C(C)(C)[NH2+]CCC(C)C
590,CN=P(N(C)C)(N(C)C)C(C)(C)C
591,[CH]N(N)C(=O)CO
592,CCC(CC)N(C)CC[NH+]
593,[NH2+]CC1(O)CCOC1
594,O=C1C=C([O-])CC2(CCCCC2)C1
595,Cc1ccc(N)cn1
596,CNC(C)=C([CH])C
597,CC1CCC(C)O1
598,Cc1ccc(OC)c(C)c1
599,CC1[CH]CN2C[CH]C(C)c3cccc1c32
600,C=C1SC(=O)C(C)=C1SC
601,[CH]Nc1ccc(Cl)cc1F
602,CC(C)n1ccc(C(=O)O)n1
603,OCC(O)CI
